time_oslo,artist,title,spotify,youtube
2026-08-28 14:21:42,Ole Paus,Mitt Lille Land,spotify:track:1G85T0ZSAzZumlD0I9hGPd,https://www.youtube.com/watch?v=yxPJVWb8YN4&feature=youtube_gdata_player
2026-08-28 14:26:49,Jahn Teigen & Anita Skorgan,Adieu,,https://www.youtube.com/watch?v=ra5EM4b25AA&feature=youtube_gdata_player
2026-08-28 14:29:03,Bette Midler,The Rose,spotify:track:23X72rSGy4hhU57QodGk2P,https://www.youtube.com/watch?v=zxSTzSEiZ2c&feature=youtube_gdata_player
2026-08-28 14:33:35,Tommy Nilsson,Öppna Din Dörr,spotify:track:2c0mjg1Ori1ZqVyU1kp6Q1,https://www.youtube.com/watch?v=JlK1H2_aBh8&feature=youtube_gdata_player
2026-08-28 14:37:44,Jørn Hoel,Ei Hand Å Holde I,spotify:track:777Uyhun9rXPwmPbkxFu7a,https://www.youtube.com/watch?v=uAvukBIzVv8&feature=youtube_gdata_player
2026-08-28 14:41:59,Bob Dylan,Blowin' In The Wind,spotify:track:45xWBubNgQp0IIaiQAlt1I,https://www.youtube.com/watch?v=IUX9IcSzHX0&feature=youtube_gdata_player
2026-08-28 14:44:40,John Lennon,Imagine,spotify:track:2tpAJ2XgEVZggkE2izL6ll,https://www.youtube.com/watch?v=XLgYAHHkPFs&feature=youtube_gdata_player
2026-08-28 14:48:28,Anne Grete Preus,Når Himmelen Faller Ned,spotify:track:5aasUgkPxYhqKcxmNLotmH,https://www.youtube.com/watch?v=5j6M1i9rW1s&feature=youtube_gdata_player
2026-08-28 14:52:13,Eric Clapton,Tears In Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,https://www.youtube.com/watch?v=VRsJlAJvOSM&feature=youtube_gdata_player
2026-08-28 14:56:36,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),,https://www.youtube.com/watch?v=dys15rYMTfw
2026-08-28 15:05:31,Bjørn Eidsvåg,Eg Ser,spotify:track:0U44H4Ok510flMt8bypiwM,https://www.youtube.com/watch?v=qYnzDqJqGwM&feature=youtube_gdata_player
2026-08-28 15:09:08,Leonard Cohen,Hallelujah,spotify:track:3a1HY1vAKItKCK2I5cgavn,https://www.youtube.com/watch?v=YrLk4vdY28Q&feature=youtube_gdata_player
2026-08-28 15:13:27,Björn Afzelius,Tusen bitar,spotify:track:5JOhGClDjtzouQuEOMmNPb,https://www.youtube.com/watch?v=-u-ZcFgDj-4&feature=youtube_gdata_player
2026-08-28 15:18:58,Odd Nordstoga,Ein farfar i livet,,https://www.youtube.com/watch?v=cydInv_Rcz8
2026-08-28 15:22:32,Cat Stevens,Morning Has Broken,spotify:track:1xY7DqZ8OBcvHIXilqbhsv,https://www.youtube.com/watch?v=FP7Ry9MfkQU&feature=youtube_gdata_player
2026-08-28 15:27:03,Marit Larsen,Vår Beste Dag,spotify:track:2RssYUkYzmEtvxmUX0C19A,https://www.youtube.com/watch?v=byrBsfMsPmY&feature=youtube_gdata_player
2026-08-28 15:34:51,Susan Boyle,Memory,,https://www.youtube.com/watch?v=PQWJ_qJ1unc
2026-08-28 15:38:51,Kari Bremnes,E Du Nord,,https://www.youtube.com/watch?v=kS4xw6CH_yc
2026-08-28 15:44:27,Brian May & Kerry Ellis,Can't Help Falling in Love,,https://www.youtube.com/watch?v=KQSq5UlZXXY
2026-08-28 15:47:31,Lillebjørn Nilsen,Barn Av Regnbuen,spotify:track:53GiiBCwGcdXoJwZR9awFM,https://www.youtube.com/watch?v=REbrReiAA8c&feature=youtube_gdata_player
2026-08-28 15:51:41,Sigmund Groven/Henning Sommerro,Vårsøg,,https://www.youtube.com/watch?v=xu9t5ii0yJk&feature=youtube_gdata_player
2026-08-28 15:54:20,Halvdan Sivertsen,Kjærlighetsvisa,spotify:track:4nhBMh4m6JXfqeUktEXGrP,https://www.youtube.com/watch?v=nh23KWgbGxw&feature=youtube_gdata_player
2026-08-28 15:57:37,Bob Dylan,Blowin' In The Wind,spotify:track:45xWBubNgQp0IIaiQAlt1I,https://www.youtube.com/watch?v=IUX9IcSzHX0&feature=youtube_gdata_player
2026-08-28 16:05:15,Kurt Nilsen & Helene Bøksle,Gje Me Handa Di Venn,,https://www.youtube.com/watch?v=bPtVeIbAbs4
